# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Mon Feb 17 16:42:31 UTC 2025
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Age = 1.000000E+07 yr
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0305 0.34439 7.00000 1.7487775087 2.5560748215    1.748  1.039  3.8371  3.942    0 2.172 2.023 2.206 1.711
0.0305 0.34439 7.00000 1.7492541075 2.5561023991    1.748  1.040  3.8375  3.942    0 2.170 2.021 2.203 1.710
0.0305 0.34439 7.00000 1.7605317831 2.5567499570    1.759  1.043  3.8436  3.967    0 2.163 2.017 2.189 1.720
0.0305 0.34439 7.00000 1.7737469673 2.5574967286    1.773  1.035  3.8487  3.999    0 2.183 2.039 2.203 1.754
0.0305 0.34439 7.00000 1.7815707922 2.5579328427    1.780  1.029  3.8516  4.018    0 2.198 2.055 2.214 1.777
0.0305 0.34439 7.00000 1.7982370853 2.5588473186    1.797  0.996  3.8527  4.059    0 2.279 2.137 2.296 1.862
0.0305 0.34439 7.00000 1.7987163067 2.5588733253    1.798  0.995  3.8527  4.060    0 2.282 2.140 2.298 1.864
0.0305 0.34439 7.00000 1.8103026152 2.5594972820    1.809  0.966  3.8514  4.087    0 2.354 2.213 2.373 1.933
0.0305 0.34439 7.00000 1.8214247227 2.5600876605    1.820  0.940  3.8493  4.108    0 2.421 2.279 2.444 1.994
0.0305 0.34439 7.00000 1.8236858845 2.5602066739    1.823  0.935  3.8489  4.111    0 2.433 2.292 2.457 2.005
0.0305 0.34439 7.00000 1.8285554647 2.5604618291    1.827  0.924  3.8479  4.119    0 2.460 2.319 2.486 2.030
0.0305 0.34439 7.00000 1.8418767452 2.5611519137    1.841  0.905  3.8460  4.134    0 2.506 2.365 2.535 2.071
0.0305 0.34439 7.00000 1.8486553431 2.5614986792    1.848  0.905  3.8459  4.135    0 2.507 2.365 2.535 2.071
